-0.18,23.53
-0.092,23.86
-0.004,23.39
0.083,23.22
0.134,24.07
0.17,23.33
0.236,23.88
0.255,23.29
0.334,24.27
0.342,23.55
0.43,23.6
0.435,24.07
0.517,23.82
0.534,24
0.604,24.21
0.634,24.3
0.692,24.52
0.734,24.38
0.779,24.83
0.834,24.23
0.866,24.99
0.934,23.83
0.953,24.74
1.034,24.2
1.04,24.61
1.127,24.88
1.134,24.86
1.214,25.05
1.234,25.2
1.301,25.61
1.334,25.33
1.388,26.03
1.434,25.9
1.475,26.37
1.534,26.4
1.562,27
1.633,26.94
1.649,28.05
1.733,27.39
1.736,27.29
1.823,27.79
1.833,27.45
1.91,29.1
1.933,29.39
