1.023,16.53
1.227,16.91
1.269,16.29
1.394,17.09
1.477,16.88
1.585,16.9
1.619,16.31
1.762,16.97
1.778,17
1.778,17.03
1.826,16.15
1.901,17.23
1.954,17.19
1.968,16.43
2.076,16.62
2.079,17.36
2.079,17.4
2.162,16.97
2.176,17.56
2.234,17.24
2.255,17.77
2.255,17.77
2.296,17.53
2.35,17.88
2.38,18.16
2.38,18.28
2.398,18.16
2.442,18.61
2.477,18.69
2.477,18.75
2.481,18.71
2.517,19.05
2.551,19.33
2.556,19.06
2.556,19.23
2.575,18.65
2.582,19.48
2.623,19.62
2.632,19.24
2.647,19.11
2.681,19.81
2.681,19.94
2.709,19.87
2.732,20.32
2.732,20.49
2.763,20.42
2.778,20.41
2.811,20.78
2.818,20.88
2.819,20.59
2.854,21.41
2.857,21.33
2.892,21.91
2.894,21.51
2.924,22.19
2.93,21.98
2.963,22.13
2.98,22.23
3.01,22.55
3.064,22.73
3.064,23.5
3.112,23.32
3.112,24.29
3.154,23.32
3.155,24.09
3.155,24.17
3.195,24.55
3.231,25.22
3.264,25.61
3.311,26.19
3.332,24.92
3.365,27.16
3.413,28.17
