-0.377,19.89
-0.268,19.85
-0.143,19.69
-0.143,19.9
-0.092,19.9
0.045,19.83
0.09,19.8
0.09,19.99
0.14,19.76
0.19,19.83
0.19,19.95
0.209,19.91
0.29,19.88
0.29,19.95
0.346,19.86
0.391,19.91
0.391,19.93
0.391,20.02
0.441,19.79
0.491,19.85
0.491,19.98
0.514,19.91
0.518,19.87
0.591,19.8
0.591,19.94
0.611,19.92
0.644,19.9
0.689,19.94
0.69,19.81
0.69,19.84
0.742,19.84
0.742,19.92
0.756,19.95
0.79,19.72
0.79,19.8
0.815,19.97
0.821,19.92
0.866,19.98
0.889,19.95
0.89,19.84
0.89,19.88
0.912,20
0.918,19.91
0.945,19.99
0.953,20.02
0.99,19.95
0.99,20.02
0.99,20.04
0.997,20.04
1.026,20.07
1.043,19.99
1.043,20.11
1.058,20.09
1.084,20.12
1.088,20.11
1.09,19.91
1.09,19.92
1.115,20.14
1.122,20.15
1.14,20.07
1.156,20.15
1.167,20.2
1.189,20.19
1.19,20.1
1.19,20.24
1.219,20.18
1.219,20.23
1.234,20.32
1.247,20.31
1.286,20.4
1.29,20.4
1.29,20.43
1.292,20.48
1.298,20.5
1.343,20.62
1.344,20.59
1.365,20.74
1.389,20.74
1.39,20.7
1.39,20.7
1.395,20.76
1.423,20.89
1.43,20.89
1.441,20.87
1.468,21.01
1.474,21.01
1.482,20.98
1.49,20.92
1.49,20.97
1.503,21.11
1.52,21.19
1.52,21.24
1.555,21.32
1.561,21.4
1.565,21.4
1.587,21.48
1.59,21.46
1.59,21.5
1.599,21.59
1.617,21.7
1.634,21.9
1.644,21.86
1.645,21.97
1.69,22.13
1.69,22.2
1.696,22.2
1.696,22.2
1.711,22.1
1.752,22.76
1.763,22.54
1.769,22.43
1.775,22.54
1.79,22.56
1.79,22.64
1.82,22.78
1.821,23.17
1.822,22.78
1.842,23.12
1.866,23.14
1.872,23.55
1.89,23.36
1.89,23.38
1.894,23.48
1.9,23.5
1.907,23.37
1.918,24.15
1.945,23.54
1.951,23.91
1.959,23.14
1.964,23.77
1.989,24.28
1.989,24.35
1.997,24.31
1.997,24.48
2.001,24.09
2.012,23.86
2.032,24.65
2.038,24.31
2.072,24.6
2.076,24.75
2.087,24.39
2.089,25.76
2.094,25.4
2.096,24.51
2.143,25.34
2.158,25.03
2.159,25.16
2.167,26.41
2.221,25.55
2.23,25.52
2.233,25.82
2.24,24.85
2.275,26.08
2.292,26.27
2.299,24.09
2.324,26.19
2.346,26.32
2.375,27.16
2.388,27.19
2.394,27.02
2.437,27.24
2.46,27.49
2.477,27.99
2.483,27.77
2.522,28.24
2.531,29.12
2.569,28.81
2.576,29.31
2.593,29.02
2.625,28.88
2.641,28.56
2.647,28.87
